CourseTitle,Level,Time(Hours),Category,NumberOfLessons,Description,Curriculum
genai applied quantitative finance control implementation,Intermediate,0.006263048016701461,Generative AI ,0.005181347150259068,course explores application generative ai quantitative finance focusing building sustainable trading algorithms keyword extraction sentiment analysis timeseries forecasting learn predict commodity prices gold integrating data financial news sources leveraging sentiment analysis optimizing models robust trading signals,introduction overview problem definition commodity price prediction architecture handson
navigating llm tradeoffs techniques speed cost scale accuracy,Beginner,0.006263048016701461,Generative AI ,0.007772020725388601,course provides concise guide optimizing large language models llms navigating tradeoffs speed cost scale accuracy learn practical techniques like lora model quantization parameterefficient finetuning improve performance reducing costs youll explore various deployment strategies understand evaluate llms using industrystandard benchmarks making course ideal anyone seeking efficient scalable ai solutions,introduction resources technique increase accuracy training speed cost optimization inference speed cost optimizationscale
creating problemsolving agents using genai action composition,Beginner,0.006263048016701461,Generative AI ,0.007772020725388601,introductory course provides concise overview agentic ai systems covering evolution current state practical applications explore key topics including history agentic ai systems role agents today multiagent systems practical solutions implementing perfect seeking foundational understanding intelligent agentic ai systems action,introduction overview count number agents brief history agentic systems agents today multiagent systems today practical solutions
improving real world rag systems key challenges practical solutions,Beginner,0.006263048016701461,Generative AI ,0.023316062176165803,course explores key challenges building realworld retrievalaugmented generation rag systems provides practical solutions topics include improving data retrieval dealing hallucinations context selection optimizing system performance using advanced prompting retrieval strategies evaluation techniques handson demos gain insights better chunking embedding models agentic rag systems robust realworld applications,introduction rag systems resources rag system challenges practical solutions handson solution missing content rag key challenges practical solutions handson solution missed top ranked context extracted incorrect specificity handson solution missed wrong format problem solution handson solution wrong format incomplete problem solution hyde practical solutions recent research papers
framework choose right llm business,Beginner,0.006263048016701461,Generative AI ,0.007772020725388601,course guide process selecting suitable large language model llm various business needs examining factors accuracy cost scalability integration understand different llms perform specific scenarios customer support healthcare strategy development course emphasizes practical decisionmaking realworld case studies helping businesses navigate rapidly evolving llm landscape effectively,introduction llm world understand business framework choose right llm case studies conclusion
building smarter llms mamba state space model,Advanced,0.014613778705636741,Generative AI ,0.028497409326424875,unlock power state space models ssm like mamba comprehensive course designed ai professionals data scientists nlp enthusiasts master art integrating ssm deep learning unravel complexities models like mamba elevate understanding generative ais newest innovative models course designed equip skills needed understand cuttingedge ai models work making proficient latest ai techniques architectures,course overview alternative transformers understanding state space models mamba selective state space model
generative ai way life free course,Beginner,0.04801670146137787,Generative AI ,0.07253886010362695,course transformative journey tailored beginners delves aipowered text image generation using leading tools like chatgpt microsoft copilot dalle learn practical applications across industries ethical considerations best practices whether youre content creator business innovator ai enthusiast gain expertise harness generative ais full potential drive innovation field,introduction generative ai text generation using generative ai image generation using generative ai
building llm applications using prompt engineering free course,Beginner,0.01544885177453027,Generative AI ,0.036269430051813475,free course offers comprehensive guide building llm applications mastering prompt engineering implementing best practices developing chatbots using enterprise data using advanced techniques like fewshot oneshot prompting,build different llm applications getting started prompt engineering understanding different prompt engineering techniques
building first computer vision model free course,Beginner,0.0020876826722338203,Deep Learning ,0.010362694300518137,course help gain deep understanding computer vision build advanced cv models using pytorch framework carefully curated list resources exercises course guide becoming computer vision expert master techniques build convolutional neural networks classify images,pixel perfect decoding images understanding cnn convolutional layer hands image processing techniques understanding cnn striding pooling understanding cnn pooling layer understanding alexnet building cnn model quiz
bagging boosting ml algorithms free course,Intermediate,0.006263048016701461,Machine Learning,0.03367875647668394,course provide handson understanding bagging boosting techniques machine learning end course proficient implementing tuning ensemble methods enhance model performance youll learn apply algorithms like random forest adaboost gradient boosting realworld dataset equipping skills improve predictive accuracy robustness projects,bagging boosting
midjourney inspiration implementation free course,Intermediate,0.0020876826722338203,Generative AI ,0.005181347150259068,course provide practical understanding midjourney tools end course able utilize midjourney effectively explore alternative tools creative projects youll learn draw inspiration use midjourneys features understand applications engaging lessons,midjourney storm story midjourney inspiration midjourney use midjourney alternatives quiz
understanding linear regression free course,Beginner,0.006263048016701461,Machine Learning,0.018134715025906738,free course help understand fundamentals linear regression straightforward manner end course able build predictive models using linear regression techniques carefully curated list resources exercises course serves comprehensive guide mastering linear regression,introduction problem statement resources course introduction linear regression significance slope intercept linear regression model decides bestfit line lets build simple linear regression model model understanding using descriptive approach model understanding using descriptive approach ii model building using predictive approach quiz linear regression
working neural networks free course,Beginner,0.010438413361169102,Deep Learning,0.02072538860103627,free course help understand endtoend working neural networks simple manner end course able build advanced deep learning models using pytorch framework carefully curated list resources exercises course serves comprehensive guide mastering deep learning recommended complete advanced machine learning course taking course,neural networks trained forward propagation understanding loss functions hands reading creating custom loss function optional optimization techniques gradient descent back propagation types gradient descent common optimization techniques part common optimization techniques part building deep neural network handson regression model building deep neural network handson classification model quiz
z unsupervised ml free course,Intermediate,0.006263048016701461,Machine Learning,0.02590673575129534,unsupervised machine learning helps uncover hidden patterns structures data without labeled examples essential exploratory data analysis reducing dimensionality discovering intrinsic relationships within datasets mastering unsupervised techniques enhances data preprocessing drives insights complex datasets labels scarce unavailable,resources used course setting context choosing clustering algorithms solving problem using kmeans part solving problem using kmeans part finding optimal k value analysis insights based plots introduction hierarchical clustering analysis hca solving problem using hierarchical clustering introduction dbscan clustering solving problem using dbscan reading applications clustering real world project
building first rag system using llamaindex free course,Intermediate,0.007098121085594989,Generative AI ,0.023316062176165803,course guide building first retrievalaugmented generation rag system using llamaindex start data ingestion loading file system followed indexing data efficient retrieval next set retrieval configurations use response synthesizer combine data coherent response finally employ query engine generate responses end course solid understanding processes able build rag system using llamaindex code effectively,introduction rag systems getting started llamaindex
data preprocessing realworld problem statement free course,Beginner,0.006263048016701461,Basic Python,0.02590673575129534,course help get practical understanding data preprocessing course work data prepare modelling carefully curated list resources course first step becoming data scientist end course mastered techniques like eda missing value treatment,resources used course introduction problem statement reading material understanding data mlworkflow tasks performed combining product attribute data pos data combining tables dataframe understanding combined data treating missing values part treating missing values part outlier detection treatment preparing dataset supervised unsupervised models generative ai data analysis
exploring stabilityai free course,Beginner,0.006263048016701461,Generative AI ,0.010362694300518137,course give practical understanding stabilityai tools end course able deploy customize sd webui use automatic webui runpod gpu environments youll learn install set generate finetune sd webui settings equipping skills harness stabilityais full potential projects,introduction stability use stabilityai tools review deployment options sd webui automatic webui runpod gpu environment sd webui handson installation setup sd webui handson generation settings quiz
building text classification model natural language processing free course,Intermediate,0.007098121085594989,NLP,0.03367875647668394,gain practical insights natural language processing nlp comprehensive course learn build nlp models using pytorch delve classification models apply techniques like bagofwords count vectorizer perfect professionals seeking enhance skills aspiring students entering tech industry,introduction nlp building basic classification model
getting started large language models,Beginner,0.007933194154488517,Generative AI ,0.038860103626943004,course help gain comprehensive understanding large language models llms develop advanced natural language processing nlp applications using pytorch framework carefully curated list resources exercises course guide becoming expert llms master techniques build finetune llms generate humanlike text,introduction evolution nlp large language models current state art llms generative ai glossary feedback matters
introduction generative ai,Beginner,0.006263048016701461,Generative AI ,0.015544041450777202,course provide comprehensive understanding generative ai including text image generation techniques end course understanding using generative ai tools create diverse content youll learn generative ai works engage practical exercises gain skills implement techniques realworld projects,generative ai gen ai work quiz text generation gen ai image generation gen ai quiz meet instructors course handout feedback matters
nano course dreamboothstable diffusion custom images,Advanced,0.006263048016701461,Generative AI ,0.02590673575129534,theory practice dive stable diffusion history significance master dreambooth process learn finetune dreambooth model custom images discussing step step detail,current landscape generative ai stable diffusion recap history stable diffusion intuition behind stable diffusion train stable diffusion model introduction dreambooth understanding dreambooth process tricks name concept uniquely select images finetuning dreambooth setting training environment codefinetuning dreambooth model custom dataset importance captioning dreambooth differences stable diffusion dreambooth
comprehensive learning path deep learning,Beginner,1.0,Deep Learning,0.17875647668393782,common question get beginners field deep learning begin journey becoming deep learning expert difficult one right resources follow million resources refer tough decide start,quizzes exercises
comprehensive learning path become data scientist,Beginner,0.014613778705636741,Data Science,1.0,want become data scientist year confused start follow comprehensive learning path analytics vidhya provide answers need,overview learning path data science toolkit data visualization data exploration basics machine learning art storytelling advanced machine learning machine learning concepts introduction deep learning computer vision basics natural language processing model deployment practice projects
nano course building large language models code,Intermediate,0.0020876826722338203,Generative AI ,0.018134715025906738,learn train large language models code scratch covering step involved detail training data curation model evaluation deep dive journey creating starcoder b parameter code generation model,introduction agenda bigcode community training llms code scratch training data curation training data formatting preprocessing model architecture bigcode ecosystem training frameworks model evaluation tools descendants starcoder
machine learning summer training,Beginner,0.33194154488517746,Machine Learning,0.6735751295336787,free machine learning summer training learn python basics machine learning build machine learning models feature engineering techniques improve performance machine learning models,overview course introduction data science machine learning setting system introduction python variables data types operators conditional statements looping constructs data structures string manipulation functions modules packages standard libraries handling text files python introduction python libraries data science python libraries data science reading data files python preprocessing subsetting modifying pandas dataframes sorting aggregating data pandas visualizing patterns trends data machine learning lifecycle problem statement hypothesis generation importance stats eda build first predictive model evaluation metrics preprocessing data build first ml model knn selecting right model linear models project customer churn prediction decision tree feature engineering project nyc taxi trip duration prediction feedback
comprehensive learning path become data engineer,Beginner,1.0,Data Engineer,0.5233160621761658,want become data engineer year confused start follow comprehensive learning path analytics vidhya provide answers need,overview learning path learn programming learn relational databases fundamentals linux cloud computing nosql databases hadoop ecosystem data warehousing
writing powerful data science articles,Intermediate,0.006263048016701461,Data Science,0.007772020725388601,looking write publish data science article perhaps looking tips tricks improve articles readability viewership course writing powerful data science articles,welcome data science writing crash course crash course write powerful data science articles expert talk writing powerful data science articles parul pandey next steps
machine learning certification course beginners,Beginner,0.04801670146137787,Machine Learning,0.6683937823834197,free machine learning certification course learn python basics machine learning build machine learning models feature engineering techniques improve performance machine learning models,overview course introduction data science machine learning setting system introduction python variables data types operators conditional statements looping constructs data structures string manipulation functions modules packages standard libraries handling text files python introduction python libraries data science python libraries data science reading data files python preprocessing subsetting modifying pandas dataframes sorting aggregating data pandas visualizing patterns trends data machine learning lifecycle problem statement hypothesis generation importance stats eda build first predictive model evaluation metrics preprocessing data build first ml model knn selecting right model linear models project customer churn prediction decision tree feature engineering project nyc taxi trip duration prediction
data science career conclave transition data science,Beginner,0.006263048016701461,Data Science,0.007772020725388601,heres perfect course help get data science career queries answered top data science experts expound look data science professional build skills,introduction career conclave different roles data science role right hiring managers really looking build digital profile data science panel discussion transition data science months aiml blackbelt plus program sponsored
top data science projects analysts data scientists,Advanced,0.04801670146137787,Projects,0.08549222797927461,kickstart career data science data science courses projects including learning projects covering machine learning computer vision deep learning natural language processing reinforcement learning data engineering,welcome course machine learning projects deep learning projects computer vision projects natural language processing nlp projects reinforcement learning projects data engineering projects data science projects
getting started git github data science professionals,Intermediate,0.031315240083507306,Tools & Framework,0.044041450777202076,upskill data science acumen analytics vidhyas github course data scientists empowers learning value ins outs git github using git github make data science projects easier track,getting familiar git github understand git terminology get started git going remote get started github whats next
machine learning starter program,Beginner,0.04801670146137787,Machine Learning,0.0,stepbystep online program learn basics machine learning focus concepts well practical problem solving ideal beginners want start journey machine learning,introduction machine learning
data science hacks tips tricks,Beginner,0.056367432150313146,Data Science,0.08808290155440415,learn key data science hacks tips tricks become better efficient data scientist data science hacks cover wide range data science topics like speeding python code optimizing data science algorithm much,introduction data science hacks tips tricks course resource downloader pandas apply extract email addresses text pandas boolean indexing pandas pivot table splitting string python transforming distributions normal distributions remove emojis text elbow method knn classifier pandas crosstab quick exploratory analysis scaling features using minmax scaler feature engineering date time features creating dummy test data using sklearn image augmentation increase size training data fast tokenization using hugging face stratified sampling using sklearn reading html files using pandas readhtml extract different data types different dataframes pandas profiling quick exploratory analysis change wide form dataframe long form dataframe magic functions jupyter notebooks set jupyter theme change cell width jupyter notebook change datatype datetime sharing jupyter notebook visualize decision tree invert dictionary python visualize interactive plot write python file directly jupyter notebook cell feature selection convert string characters apply pandas parallel convert date format make images size regex testing debugging
introduction business analytics,Beginner,0.006263048016701461,Business Analytics,0.07512953367875648,business analytics thriving role forwardthinking organizations around world demand business analytics professionals growing multifold time start working towards desired career,business analytics spectrum business analytics skills required business analytics roadmap business analytics program case study ezine publishing
introduction pytorch deep learning,Beginner,0.006263048016701461, Tools & Framework,0.06476683937823835,pytorch popular leading deep learning framework exactly pytorch pytorch work use pytorch build deep learning models pytorch tutorial course help answer questions detail,pytorch neural networks implementing neural network pytorch deep learning pytorch
introduction natural language processing,Beginner,0.03966597077244259, NLP,0.046632124352331605,natural language processing nlp art extracting information unstructured text course teaches basics nlp regular expressions text preprocessing,introduction natural language processing learn use regular expressions first step nlp text processing nlp certification exam go
getting started decision trees,Intermediate,0.014613778705636741,Machine Learning,0.046632124352331605,decision tree algorithm one powerful algorithm machine learning decision trees used beginners experts build machine learning models course provides everything decision trees python implementation,introduction decision tree purity decision trees quiz purity decision trees terminologies related decision trees quiz introduction decision trees select best split point decision trees quiz select best split point decision trees chisquare quiz chisquare information gain quiz information gain reduction variance quiz reduction variance optimizing performance decision trees quiz optimizing performance decision trees decision tree implementation dataset decision tree implementation test skills decision tree go
introduction python,Beginner,0.006263048016701461,Tools & Framework,0.17098445595854922,power career best popular data science language python leverage python skills start data science journey course intended beginners coding data science background,overview course introduction python understanding operators variables data types conditional statements looping constructs functions data structure lists dictionaries understanding standard libraries python reading csv file python data frames basic operations data frames indexing data frame data manipulation visualization regular expressions cheatsheet python evaluate feedback go
loan prediction practice problem using python,Intermediate,0.014613778705636741,Projects,0.03367875647668394,course aimed people getting started data science machine learning working real life practical problem,introduction course table contents problem statement hypothesis generation exercise discussion getting system ready loading data understanding data univariate analysis bivariate analysis missing value outlier treatment evaluation metrics classification problems model building part logistic regression using stratified kfolds cross validation feature engineering model building part ii aiml blackbelt plus program sponsored
big mart sales prediction using r,Intermediate,0.014613778705636741,Projects,0.04145077720207254,course aimed people getting started data science machine learning solving big mart sales prediction problem,overview course table contents problem statement hypothesis generation loading packages data understanding data univariate analysis bivariate analysis missing value treatment feature engineering encoding categorical variables preprocessing data model building linear regression regularized linear regression random forest xgboost summary aiml blackbelt plus program sponsored
twitter sentiment analysis,Intermediate,0.022964509394572022,"Projects, NLP",0.038860103626943004,sentiment analysis sentiment analysis popular data science perform sentiment analysis find answers questions free course sentiment analysis using python,overview course understand problem statement table contents loading libraries data data inspection data cleaning story generation visualization tweets bagofwords features tfidf features wordvec features modeling logistic regression support vector machine svm randomforest xgboost finetuning xgboost wordvec summary
pandas data analysis python,Beginner,0.056367432150313146,Tools & Framework,0.06217616580310881,pandas perform data analysis data manipulation using pandas python learn work pandas superb free course master popular python library data science,getting started pandas dataset description read write data using pandas pandas dataframes data exploration using pandas data manipulation using pandas aggregating data using pandas merging data using pandas pandas cheatsheet
support vector machine svm python r,Intermediate,0.014613778705636741,Machine Learning,0.02590673575129534,support vector machine svm machine learning svm classifier work design svm classifier python r learn support vector machines svm free course data scientists,introduction support vector machines svm work svm kernels hyperparameters implementing svm python implementing svm r challenges svm
evaluation metrics machine learning models,Beginner,0.014613778705636741,Machine Learning,0.05699481865284975,evaluation metrics machine learning different types evaluation metrics gauge improve machine learning model course teach evaluation metrics machine learning models,introduction evaluation metrics classification evaluation metrics regression next
fundamentals regression analysis,Intermediate,0.022964509394572022,Machine Learning,0.054404145077720206,regression analysis different types regression whats difference linear regression logistic regression ridge lasso regression course fundamentals regression analysis clear doubts,welcome course introduction regression types regression linear regression logistic regression ridge regression lasso regression selecting right model next
getting started scikitlearn sklearn machine learning,Intermediate,0.031315240083507306,Tools & Framework,0.06217616580310881,scikitlearn sklearn powerful python library machine learning sklearn sklearn work kind ml models build using sklearn find course build sklearn models,welcome course scikitlearn python use scikitlearn data science life cycle use scikitlearn model building machine learning pipeline using scikitlearn next steps
convolutional neural networks cnn scratch,Advanced,0.04801670146137787,Deep Learning,0.036269430051813475,convolutional neural networks cnns taken deep learning community storm cnn models power deep learning applications like object detection image segmentation facial recognition etc learn cnn course,introduction neural networks introduction cnns architecture cnn mathematics behind cnns implementing cnn next
dimensionality reduction machine learning,Advanced,0.031315240083507306,Machine Learning,0.05181347150259068,dimensionality reduction key concept machine learning course covers several dimensionality reduction techniques every data scientist know including principal component analysis pca factor analysis among others,introduction course introduction dimensionality reduction feature selection techniques factor based feature extraction techniques projection based feature extraction techniques
knearest neighbors knn algorithm python r,Intermediate,0.014613778705636741,Machine Learning,0.018134715025906738,practical handson tutorial knearest neighbor knn algorithm python r course covers everything want learn knn including understanding knn algorithm works implement,introduction knearest neighbour steps build knearest neighbour model implementation python r whats next
ensemble learning ensemble learning techniques,Intermediate,0.031315240083507306,Machine Learning,0.08808290155440415,ensemble learning powerful machine learning technique every data scientist know ensemble learning ensemble learning work course perfect starting point learn ensemble learning,introduction basic ensemble learning techniques advanced ensemble learning techniques advanced ensemble learning bagging advanced ensemble learning boosting next
linear programming data science professionals,Advanced,0.022964509394572022,Machine Learning,0.044041450777202076,linear programming data science professionals course guide get started linear programming lp different components lp solve linear programming problems using excel r,introduction linear programming introduction tools solving linear programming problems methods solve linear programming problems applications linear programming conclusion
naive bayes scratch,Advanced,0.0020876826722338203,Machine Learning,0.04145077720207254,naive bayes popular widely used machine learning algorithm classification problems learn naive bayes naive bayes classifier works implement naive bayes course,probability naive bayes algorithm next
learn swift data science,Advanced,0.014613778705636741,Tools & Framework,0.046632124352331605,swift data science introduces wonderful world swift programming language use data science tasks swift quickly adopted data science organizations start journey today,introduction swift basics data analysis machine learning swift tensorflow bonus chapter nlp based ios apps using swift next
introduction web scraping using python,Beginner,0.006263048016701461,Tools & Framework,0.02590673575129534,web scraping web scraping mustknow skill perform web scraping python course cover aspects web scraping showcase perform web scraping using beautifulsoup scrapy,introduction web scraping web scraping procedure scraping urls email ids web page scrape images python scrape data page load
tableau beginners,Beginner,0.0,Business Analytics,0.036269430051813475,tableau tool choice business intelligence analytics data visualization experts learn use tableau different features tableau start building impactful visualization using tableau tutorial,introduction concept visualization understanding length breadth tableau getting started tableau different types charts tableau bonus functionalities tableau whats next
getting started neural networks,Beginner,0.007933194154488517,Deep Learning,0.11139896373056996,kick start journey deep learning analytics vidhyas introduction neural networks course learn neural network works different applications field computer vision natural language processing,introduction deep learning getting ready course introduction neural network activation functions loss function nn structured data assignment big mart sales prediction real world use cases deep learning go
introduction ai ml,Beginner,0.014613778705636741,Data Science,0.036269430051813475,artificial intelligence ai machine learning ml changing world around us functions industries ai ml disrupting work function get know different facets ai ml course,introduction ai ml common terminologies tools techniques skills required become data science professional
winning data science hackathons learn elite data scientists,Beginner,0.006263048016701461,Data Science,0.010362694300518137,competing data science hackathon skills tactics creativity learning unique opportunity understand top hackers approach various types problem statements competitions,introduction winning data science hackathon course talks elite data scientists
hypothesis testing data science analytics,Intermediate,0.031315240083507306,Statistics,0.04145077720207254,hypothesis testing one fascinating steps data scientists perform essential one hypothesis validate hypothesis learn basics hypothesis testing implement project,introduction course fundamentals hypothesis testing z test ttest deciding z test ttest case study hypothesis testing coronavirus using python
